0,467,Watercress,Watercress,8
27,390,Cauliflower,Cauliflower,11
27,390,Oranges,Oranges,20
27,577,Leeks,Leeks,10
27,577,Eggplant,Eggplant,1
27,577,Eggplant,Eggplant,6
27,577,Peanuts,Peanuts,9
27,577,Peanuts,Peanuts,18
27,577,Sage,Sage,5
27,806,Apricots,Apricots,14
27,806,Cinnamon,Cinnamon,19
27,806,Honeydews,Honeydews,3
27,806,Collard greens,Collard greens,4
27,806,Cabbage,Cabbage,8
27,279,Cherimoya,Cherimoya,9
27,279,Mulberries,Mulberries,19
27,279,Peas,Peas,4
27,279,Grapes,Grapes,1
27,279,Beans,Beans,10
27,279,Avocados,Avocados,0
27,279,Bananas,Bananas,3
28,511,Mulberries,Mulberries,2
28,511,Cashews,Cashews,5
28,511,Radishes,Radishes,8
28,287,Kumquats,Kumquats,5
28,287,Corn,Corn,4
28,287,Blueberries,Blueberries,18
28,287,Fennel,Fennel,16
29,677,Rosemary,Rosemary,17
29,677,Passionfruit,Passionfruit,6
29,780,Sage,Sage,1
29,780,Sage,Sage,14
29,780,Okra,Okra,11
29,780,Gooseberries,Gooseberries,9
29,278,Cranberries,Cranberries,7
29,278,Passionfruit,Passionfruit,20
29,278,Avocados,Avocados,2
29,346,Hazelnuts,Hazelnuts,12
29,346,Cinnamon,Cinnamon,5
30,803,Watercress,Watercress,11
30,803,Tomatoes,Tomatoes,17
30,803,Mustard greens,Mustard greens,8
30,803,Eggplant,Eggplant,1
30,803,Potatoes,Potatoes,14
30,803,Pumpkins,Pumpkins,4
30,803,Turnips,Turnips,20
30,315,Mangoes,Mangoes,15
30,315,Nectarines,Nectarines,17
30,315,Marionberries,Marionberries,15
30,315,Tomatoes,Tomatoes,9
30,315,Potatoes,Potatoes,7
30,315,Figs,Figs,8
31,297,Squash,Squash,17
31,36,Celery,Celery,3
31,36,Potatoes,Potatoes,5
31,36,Grapes,Grapes,12
31,36,Cucumbers,Cucumbers,13
31,36,Artichokes,Artichokes,0
31,7,Coffee beans,Coffee beans,6
31,7,Tangerines,Tangerines,12
31,7,Blueberries,Blueberries,12
31,7,Brussels sprouts,Brussels sprouts,10
31,24,Radicchio,Radicchio,3
31,24,Lettuce,Lettuce,1
31,24,Tomatoes,Tomatoes,3
31,704,Raspberries,Raspberries,7
31,704,Walnuts,Walnuts,1
31,280,Sweet potatoes,Sweet potatoes,3
31,280,Mustard greens,Mustard greens,14
31,280,Beans,Beans,13
31,280,Pumpkins,Pumpkins,1
31,280,Avocados,Avocados,6
31,280,Guavas,Guavas,20
31,280,Walnuts,Walnuts,11
32,244,Leeks,Leeks,3
32,244,Thyme,Thyme,1
32,459,Coffee beans,Coffee beans,16
32,459,Bell peppers,Bell peppers,12
32,459,Bananas,Bananas,4
32,252,Zucchini,Zucchini,0
32,252,Spinach,Spinach,2
32,252,Dill,Dill,1
32,252,Limes,Limes,8
32,252,Avocados,Avocados,6
32,252,Hazelnuts,Hazelnuts,3
32,731,Hazelnuts,Hazelnuts,15
32,731,Turnips,Turnips,12
32,731,Sunflower seeds,Sunflower seeds,17
32,731,Pistachios,Pistachios,8
32,731,Radicchio,Radicchio,13
32,731,Papayas,Papayas,2
32,663,Pomelo,Pomelo,19
32,663,Brussels sprouts,Brussels sprouts,1
32,663,Pomelo,Pomelo,17
32,663,Beets,Beets,1
32,460,Hazelnuts,Hazelnuts,0
32,460,Rambutan,Rambutan,5
32,460,Cumin,Cumin,5
32,460,Cilantro,Cilantro,19
32,460,Blueberries,Blueberries,5
32,460,Lettuce,Lettuce,2
32,460,Cantaloupes,Cantaloupes,19
32,839,Papayas,Papayas,14
32,839,Bok choy,Bok choy,6
32,839,Beets,Beets,10
33,161,Squash,Squash,1
33,161,Bok choy,Bok choy,4
33,161,Peas,Peas,13
33,161,Figs,Figs,14
33,161,Pistachios,Pistachios,13
33,161,Walnuts,Walnuts,20
33,161,Squash,Squash,20
33,161,Pistachios,Pistachios,15
33,323,Pistachios,Pistachios,13
33,46,Watercress,Watercress,4
33,46,Pineberries,Pineberries,4
33,46,Spinach,Spinach,7
33,46,Carrots,Carrots,4
33,46,Nectarines,Nectarines,11
33,755,Cumin,Cumin,14
33,755,Corn,Corn,17
33,35,Papayas,Papayas,17
33,35,Bell peppers,Bell peppers,7
33,35,Eggplant,Eggplant,9
33,35,Celery,Celery,19
34,62,Beans,Beans,6
34,502,Onions,Onions,5
34,502,Pineapples,Pineapples,12
34,502,Beans,Beans,14
34,502,Blackcurrants,Blackcurrants,15
34,477,Ugli fruit,Ugli fruit,12
34,477,Kale,Kale,16
34,477,Fennel,Fennel,6
34,477,Gooseberries,Gooseberries,2
34,477,Bok choy,Bok choy,11
34,477,Elderberries,Elderberries,20
34,477,Currants,Currants,7
34,477,Apricots,Apricots,19
34,477,Oranges,Oranges,18
34,627,Blueberries,Blueberries,16
34,627,Cherimoya,Cherimoya,11
34,627,Mangoes,Mangoes,19
34,627,Cucumbers,Cucumbers,6
35,317,Cabbage,Cabbage,7
35,317,Coffee beans,Coffee beans,11
35,317,Bok choy,Bok choy,18
35,317,Blackberries,Blackberries,6
35,579,Rambutan,Rambutan,3
35,544,Honeydews,Honeydews,20
35,544,Pecans,Pecans,14
35,544,Apples,Apples,20
35,544,Broccoli,Broccoli,6
35,544,Kiwifruit,Kiwifruit,8
35,544,Pumpkins,Pumpkins,20
35,299,Nectarines,Nectarines,18
35,299,Zucchini,Zucchini,20
35,299,Cranberries,Cranberries,3
35,101,Squash,Squash,8
35,393,Cabbage,Cabbage,16
35,393,Mustard greens,Mustard greens,20
35,393,Celery,Celery,0
35,393,Pecans,Pecans,12
35,250,Rosemary,Rosemary,0
35,250,Hazelnuts,Hazelnuts,18
35,250,Cabbage,Cabbage,13
35,250,Watercress,Watercress,9
35,250,Figs,Figs,14
35,250,Boysenberries,Boysenberries,6
35,250,Bell peppers,Bell peppers,5
35,250,Turnips,Turnips,13
35,250,Carrots,Carrots,7
35,629,Cucumbers,Cucumbers,9
35,471,Asparagus,Asparagus,0
35,471,Corn,Corn,15
35,471,Artichokes,Artichokes,15
35,471,Sage,Sage,6
35,471,Marionberries,Marionberries,8
35,471,Cantaloupes,Cantaloupes,11
35,467,Watercress,Watercress,0
35,467,Leeks,Leeks,0
35,467,Squash,Squash,11
36,556,Honeydews,Honeydews,0
36,556,Blackcurrants,Blackcurrants,20
36,556,Jackfruit,Jackfruit,18
36,556,Guavas,Guavas,5
36,90,Radicchio,Radicchio,20
36,90,Nectarines,Nectarines,18
36,90,Marionberries,Marionberries,17
36,90,Lemons,Lemons,14
36,90,Cantaloupes,Cantaloupes,14
38,399,Figs,Figs,8
38,399,Parsnips,Parsnips,6
38,623,Pistachios,Pistachios,7
38,623,Collard greens,Collard greens,20
38,623,Rosemary,Rosemary,6
38,623,Figs,Figs,14
38,623,Carrots,Carrots,16
38,623,Hot peppers,Hot peppers,18
38,439,Broccoli,Broccoli,11
38,439,Cilantro,Cilantro,15
38,439,Lemons,Lemons,8
38,439,Pomegranates,Pomegranates,20
38,564,Bell peppers,Bell peppers,9
38,564,Artichokes,Artichokes,12
38,564,Spinach,Spinach,12
38,50,Pumpkins,Pumpkins,20
38,50,Thyme,Thyme,10
38,50,Tomatoes,Tomatoes,1
38,611,Rambutan,Rambutan,12
38,611,Cashews,Cashews,7
38,611,Apples,Apples,16
39,274,Lemons,Lemons,20
39,274,Currants,Currants,9
39,274,Cherimoya,Cherimoya,5
39,274,Almonds,Almonds,7
39,274,Cucumbers,Cucumbers,4
39,274,Mulberries,Mulberries,11
39,274,Oranges,Oranges,12
39,130,Pomegranates,Pomegranates,8
39,216,Mint,Mint,2
39,133,Raspberries,Raspberries,3
39,176,Fennel,Fennel,15
39,176,Almonds,Almonds,10
39,176,Elderberries,Elderberries,16
39,176,Hot peppers,Hot peppers,3
39,803,Watercress,Watercress,17
39,803,Tomatoes,Tomatoes,7
39,803,Mustard greens,Mustard greens,20
39,803,Eggplant,Eggplant,4
39,803,Potatoes,Potatoes,6
39,803,Pumpkins,Pumpkins,9
39,414,Hazelnuts,Hazelnuts,19
39,414,Apples,Apples,1
39,414,Nectarines,Nectarines,19
39,414,Lemons,Lemons,0
39,414,Parsnips,Parsnips,13
39,701,Asparagus,Asparagus,2
39,701,Dragon fruit,Dragon fruit,4
39,701,Squash,Squash,8
39,701,Ugli fruit,Ugli fruit,15
39,701,Kiwi,Kiwi,11
39,701,Bananas,Bananas,17
39,701,Cucumbers,Cucumbers,11
39,701,Dill,Dill,17
39,768,Elderberries,Elderberries,3
39,768,Raspberries,Raspberries,6
39,325,Parsnips,Parsnips,13
39,325,Grapefruits,Grapefruits,4
40,776,Peas,Peas,3
40,776,Pecans,Pecans,13
40,220,Persimmons,Persimmons,2
40,220,Cherimoya,Cherimoya,6
40,220,Rosemary,Rosemary,11
40,220,Cabbage,Cabbage,18
40,220,Zucchini,Zucchini,12
40,284,Cashews,Cashews,2
40,284,Mangoes,Mangoes,20
40,284,Boysenberries,Boysenberries,20
40,284,Lettuce,Lettuce,20
40,284,Spinach,Spinach,9
40,284,Okra,Okra,8
40,67,Gooseberries,Gooseberries,15
40,67,Ugli fruit,Ugli fruit,14
40,67,Honey,Honey,10
40,67,Currants,Currants,7
40,530,Beets,Beets,8
40,530,Kale,Kale,16
40,530,Watermelons,Watermelons,20
40,716,Cumin,Cumin,14
40,716,Ugli fruit,Ugli fruit,8
40,716,Boysenberries,Boysenberries,7
40,716,Pistachios,Pistachios,7
40,716,Rosemary,Rosemary,17
40,716,Fennel,Fennel,12
40,716,Cucumbers,Cucumbers,17
40,836,Apricots,Apricots,4
40,836,Currants,Currants,4
40,836,Spinach,Spinach,17
40,836,Beans,Beans,20
40,836,Kumquats,Kumquats,0
40,836,Zucchini,Zucchini,11
40,836,Mint,Mint,19
40,165,Tomatoes,Tomatoes,4
40,165,Peas,Peas,5
40,165,Okra,Okra,14
40,231,Cinnamon,Cinnamon,2
40,231,Cilantro,Cilantro,3
42,767,Pecans,Pecans,2
43,520,Apricots,Apricots,2
43,520,Kale,Kale,13
43,520,Corn,Corn,2
43,332,Honey,Honey,20
43,332,Potatoes,Potatoes,1
43,332,Almonds,Almonds,9
43,332,Tangerines,Tangerines,7
44,593,Sweet potatoes,Sweet potatoes,15
44,593,Oranges,Oranges,0
44,593,Radishes,Radishes,16
45,391,Gooseberries,Gooseberries,16
45,391,Potatoes,Potatoes,6
45,391,Beets,Beets,12
45,326,Fennel,Fennel,3
45,687,Radicchio,Radicchio,6
45,687,Parsnips,Parsnips,9
45,397,Beets,Beets,11
45,397,Cherimoya,Cherimoya,9
45,397,Eggplant,Eggplant,4
45,397,Turnips,Turnips,6
45,397,Rosemary,Rosemary,13
45,665,Raspberries,Raspberries,9
45,665,Mint,Mint,20
45,517,Nectarines,Nectarines,14
45,517,Cabbage,Cabbage,17
45,517,Collard greens,Collard greens,12
45,517,Honey,Honey,19
45,517,Peanuts,Peanuts,14
45,517,Gooseberries,Gooseberries,12
45,517,Cilantro,Cilantro,2
46,817,Carrots,Carrots,6
46,817,Thyme,Thyme,4
46,817,Limes,Limes,8
46,411,Potatoes,Potatoes,20
46,411,Okra,Okra,1
46,411,Blackcurrants,Blackcurrants,4
46,411,Celery,Celery,8
46,411,Thyme,Thyme,16
46,822,Turnips,Turnips,5
46,822,Zucchini,Zucchini,2
46,822,Nectarines,Nectarines,12
46,822,Cumin,Cumin,20
46,822,Lemons,Lemons,8
46,306,Watermelons,Watermelons,2
46,691,Okra,Okra,16
46,691,Blackcurrants,Blackcurrants,14
46,691,Grapefruits,Grapefruits,12
46,691,Honeydews,Honeydews,13
46,691,Lychee,Lychee,16
46,691,Pineapples,Pineapples,15
46,568,Basil,Basil,10
46,676,Blackcurrants,Blackcurrants,10
46,676,Sunflower seeds,Sunflower seeds,12
46,676,Apricots,Apricots,2
46,188,Jackfruit,Jackfruit,6
46,188,Zucchini,Zucchini,16
46,188,Corn,Corn,4
46,188,Grapefruits,Grapefruits,6
47,457,Rambutan,Rambutan,20
47,523,Bananas,Bananas,4
47,523,Elderberries,Elderberries,13
47,523,Asparagus,Asparagus,19
47,554,Honeydews,Honeydews,5
47,554,Cinnamon,Cinnamon,17
47,554,Hazelnuts,Hazelnuts,17
47,554,Sage,Sage,0
47,554,Ugli fruit,Ugli fruit,14
47,554,Zucchini,Zucchini,6
47,11,Blackberries,Blackberries,3
47,11,Persimmons,Persimmons,5
47,11,Bananas,Bananas,7
47,662,Honeydews,Honeydews,0
47,662,Pomegranates,Pomegranates,18
47,662,Turnips,Turnips,7
47,807,Bok choy,Bok choy,20
47,807,Plums,Plums,1
47,807,Cucumbers,Cucumbers,4
47,807,Pineberries,Pineberries,18
47,807,Bananas,Bananas,15
47,807,Almonds,Almonds,6
47,533,Watercress,Watercress,20
47,533,Bell peppers,Bell peppers,7
47,533,Cilantro,Cilantro,2
47,533,Okra,Okra,10
47,533,Corn,Corn,13
47,533,Blueberries,Blueberries,8
47,360,Bok choy,Bok choy,14
47,504,Collard greens,Collard greens,6
47,504,Coffee beans,Coffee beans,10
48,628,Avocados,Avocados,12
48,628,Blackberries,Blackberries,15
48,628,Dragon fruit,Dragon fruit,10
48,404,Bananas,Bananas,20
48,404,Pomelo,Pomelo,13
48,780,Sage,Sage,9
48,349,Clementines,Clementines,1
48,349,Sunflower seeds,Sunflower seeds,17
48,349,Limes,Limes,8
48,349,Mustard greens,Mustard greens,7
48,349,Hot peppers,Hot peppers,13
48,349,Corn,Corn,14
48,349,Leeks,Leeks,1
49,162,Eggplant,Eggplant,0
49,162,Kiwi,Kiwi,15
49,162,Parsnips,Parsnips,16
49,677,Rosemary,Rosemary,10
49,677,Passionfruit,Passionfruit,1
49,566,Okra,Okra,16
49,566,Watercress,Watercress,8
49,566,Asparagus,Asparagus,18
49,566,Onions,Onions,5
49,12,Cauliflower,Cauliflower,0
49,12,Strawberries,Strawberries,5
49,321,Oranges,Oranges,4
49,321,Rosemary,Rosemary,4
49,321,Pineapples,Pineapples,19
49,321,Hazelnuts,Hazelnuts,2
49,321,Okra,Okra,4
49,321,Pomegranates,Pomegranates,6
49,321,Collard greens,Collard greens,11
49,321,Squash,Squash,12
49,185,Honeydews,Honeydews,10
49,185,Limes,Limes,2
49,185,Pineapples,Pineapples,15
49,185,Blueberries,Blueberries,3
49,772,Cherimoya,Cherimoya,20
49,772,Bell peppers,Bell peppers,18
49,772,Lemons,Lemons,2
49,772,Asparagus,Asparagus,2
49,772,Cantaloupes,Cantaloupes,12
49,198,Grapefruits,Grapefruits,6
49,198,Radishes,Radishes,14
50,556,Honeydews,Honeydews,10
50,556,Blackcurrants,Blackcurrants,2
50,556,Jackfruit,Jackfruit,3
50,132,Radishes,Radishes,0
50,132,Kiwifruit,Kiwifruit,14
50,132,Beets,Beets,12
50,132,Beans,Beans,16
50,132,Nectarines,Nectarines,0
50,620,Watercress,Watercress,5
50,620,Pomegranates,Pomegranates,19
50,620,Turnips,Turnips,12
50,620,Tomatoes,Tomatoes,16
50,288,Almonds,Almonds,17
50,288,Pumpkins,Pumpkins,9
51,590,Chives,Chives,15
51,590,Sweet potatoes,Sweet potatoes,17
51,590,Lemons,Lemons,11
51,590,Pistachios,Pistachios,4
51,590,Lemons,Lemons,17
51,590,Figs,Figs,0
51,532,Kale,Kale,12
51,532,Eggplant,Eggplant,4
51,471,Asparagus,Asparagus,10
51,367,Elderberries,Elderberries,13
51,367,Cauliflower,Cauliflower,14
51,367,Celery,Celery,4
51,367,Marionberries,Marionberries,9
51,367,Ugli fruit,Ugli fruit,12
51,367,Blackcurrants,Blackcurrants,18
51,367,Raspberries,Raspberries,4
51,807,Bok choy,Bok choy,14
51,807,Plums,Plums,17
51,807,Cucumbers,Cucumbers,17
51,807,Pineberries,Pineberries,18
51,807,Bananas,Bananas,20
51,807,Almonds,Almonds,10
51,161,Squash,Squash,16
51,161,Bok choy,Bok choy,14
51,385,Radicchio,Radicchio,15
51,385,Persimmons,Persimmons,14
51,385,Walnuts,Walnuts,16
51,385,Artichokes,Artichokes,13
51,385,Avocados,Avocados,6
51,654,Figs,Figs,12
51,458,Pumpkins,Pumpkins,3
51,458,Peaches,Peaches,1
51,458,Cinnamon,Cinnamon,3
51,567,Gooseberries,Gooseberries,12
51,13,Cauliflower,Cauliflower,11
51,103,Pistachios,Pistachios,4
51,103,Zucchini,Zucchini,4
52,670,Peanuts,Peanuts,8
52,670,Lemons,Lemons,12
52,670,Asparagus,Asparagus,6
52,670,Cantaloupes,Cantaloupes,2
52,670,Plums,Plums,14
52,670,Thyme,Thyme,4
52,670,Kale,Kale,6
53,159,Cinnamon,Cinnamon,6
53,610,Zucchini,Zucchini,19
53,610,Grapes,Grapes,9
53,610,Currants,Currants,4
53,610,Radishes,Radishes,3
53,610,Apricots,Apricots,9
53,610,Clementines,Clementines,18
53,610,Cumin,Cumin,20
53,610,Pomelo,Pomelo,5
53,610,Cashews,Cashews,4
53,291,Watermelons,Watermelons,4
53,291,Cilantro,Cilantro,17
53,291,Cinnamon,Cinnamon,10
53,291,Peaches,Peaches,4
53,291,Swiss chard,Swiss chard,13
53,849,Plums,Plums,18
53,849,Cilantro,Cilantro,5
53,849,Corn,Corn,17
53,849,Dates,Dates,3
53,508,Watercress,Watercress,5
53,508,Swiss chard,Swiss chard,17
53,508,Guavas,Guavas,9
53,508,Grapes,Grapes,20
53,387,Mangoes,Mangoes,9
53,387,Cumin,Cumin,12
53,387,Apricots,Apricots,0
53,387,Celery,Celery,15
53,387,Garlic,Garlic,14
53,294,Blackberries,Blackberries,18
53,294,Peas,Peas,20
53,294,Spinach,Spinach,11
53,294,Kiwi,Kiwi,6
53,624,Thyme,Thyme,9
53,624,Lychee,Lychee,14
53,624,Fennel,Fennel,10
53,624,Raspberries,Raspberries,5
53,624,Pomelo,Pomelo,0
53,624,Kale,Kale,1
53,624,Ugli fruit,Ugli fruit,5
53,624,Peas,Peas,1
53,624,Sweet potatoes,Sweet potatoes,17
53,624,Beets,Beets,2
53,527,Pomegranates,Pomegranates,9
53,527,Beets,Beets,2
53,527,Oranges,Oranges,16
53,527,Artichokes,Artichokes,12
53,527,Persimmons,Persimmons,10
53,527,Eggplant,Eggplant,8
53,497,Thyme,Thyme,16
53,497,Radishes,Radishes,15
53,497,Spinach,Spinach,13
53,497,Gooseberries,Gooseberries,18
53,497,Brussels sprouts,Brussels sprouts,11
53,497,Radicchio,Radicchio,2
53,497,Eggplant,Eggplant,12
53,497,Turnips,Turnips,2
53,497,Clementines,Clementines,1
53,97,Rambutan,Rambutan,12
53,97,Gooseberries,Gooseberries,1
53,97,Grapefruits,Grapefruits,12
53,97,Zucchini,Zucchini,16
53,539,Pumpkins,Pumpkins,0
53,539,Okra,Okra,15
53,539,Brussels sprouts,Brussels sprouts,7
53,539,Cinnamon,Cinnamon,6
53,827,Persimmons,Persimmons,15
53,827,Walnuts,Walnuts,14
53,827,Avocados,Avocados,3
53,827,Pecans,Pecans,2
53,211,Blueberries,Blueberries,19
53,211,Currants,Currants,20
54,720,Cinnamon,Cinnamon,17
54,720,Bananas,Bananas,10
54,720,Oranges,Oranges,7
54,720,Boysenberries,Boysenberries,10
54,720,Peaches,Peaches,16
54,720,Cabbage,Cabbage,17
54,720,Blueberries,Blueberries,18
54,720,Pineberries,Pineberries,12
54,720,Watermelons,Watermelons,0
54,720,Collard greens,Collard greens,17
54,749,Mustard greens,Mustard greens,20
54,749,Jackfruit,Jackfruit,2
54,18,Jackfruit,Jackfruit,7
54,18,Peaches,Peaches,1
54,18,Apples,Apples,7
54,453,Beans,Beans,11
54,453,Swiss chard,Swiss chard,2
54,453,Avocados,Avocados,16
55,379,Turnips,Turnips,9
55,379,Grapes,Grapes,7
55,379,Cucumbers,Cucumbers,13
55,379,Figs,Figs,19
55,379,Pomelo,Pomelo,5
55,379,Passionfruit,Passionfruit,1
55,312,Hazelnuts,Hazelnuts,4
55,312,Plums,Plums,19
55,4,Brussels sprouts,Brussels sprouts,10
55,4,Kumquats,Kumquats,17
55,4,Oranges,Oranges,13
55,4,Blueberries,Blueberries,11
55,4,Chives,Chives,1
55,4,Jackfruit,Jackfruit,17
55,4,Cumin,Cumin,10
55,4,Parsley,Parsley,6
55,747,Mangoes,Mangoes,12
55,747,Dates,Dates,17
55,747,Peas,Peas,16
55,512,Cantaloupes,Cantaloupes,10
55,512,Peanuts,Peanuts,3
55,431,Plums,Plums,10
55,431,Radicchio,Radicchio,17
55,431,Limes,Limes,18
56,70,Kiwifruit,Kiwifruit,16
56,70,Lemons,Lemons,18
56,70,Marionberries,Marionberries,16
56,70,Cinnamon,Cinnamon,7
56,70,Clementines,Clementines,11
56,70,Grapefruits,Grapefruits,4
56,70,Artichokes,Artichokes,12
56,531,Mustard greens,Mustard greens,16
56,531,Broccoli,Broccoli,19
56,531,Tangerines,Tangerines,11
56,531,Artichokes,Artichokes,0
56,761,Parsnips,Parsnips,13
56,761,Okra,Okra,16
56,761,Cantaloupes,Cantaloupes,18
56,761,Pomelo,Pomelo,10
56,761,Spinach,Spinach,0
56,761,Blackberries,Blackberries,11
56,761,Parsnips,Parsnips,19
56,547,Avocados,Avocados,11
56,547,Cucumbers,Cucumbers,15
56,547,Kiwi,Kiwi,15
56,547,Lychee,Lychee,1
56,547,Tangerines,Tangerines,20
56,682,Lettuce,Lettuce,18
56,682,Kiwifruit,Kiwifruit,15
56,485,Cucumbers,Cucumbers,3
56,485,Strawberries,Strawberries,3
56,485,Bok choy,Bok choy,20
56,485,Pineapples,Pineapples,16
56,485,Spinach,Spinach,15
57,49,Pomegranates,Pomegranates,1
57,10,Tangerines,Tangerines,6
57,10,Turnips,Turnips,13
57,10,Blueberries,Blueberries,3
57,10,Cantaloupes,Cantaloupes,0
57,10,Kiwi,Kiwi,3
57,10,Cauliflower,Cauliflower,15
57,10,Pineberries,Pineberries,5
57,380,Pineapples,Pineapples,5
57,380,Grapes,Grapes,3
57,380,Peas,Peas,14
57,380,Mustard greens,Mustard greens,13
57,410,Pecans,Pecans,18
57,410,Radishes,Radishes,1
57,410,Peas,Peas,2
57,410,Pomegranates,Pomegranates,17
57,410,Guavas,Guavas,0
57,410,Blueberries,Blueberries,19
57,318,Grapefruits,Grapefruits,14
57,318,Oranges,Oranges,6
57,318,Parsnips,Parsnips,4
57,318,Rosemary,Rosemary,1
58,102,Cabbage,Cabbage,6
58,102,Squash,Squash,5
58,102,Cranberries,Cranberries,6
58,102,Cilantro,Cilantro,12
58,102,Clementines,Clementines,9
58,102,Dragon fruit,Dragon fruit,16
58,820,Mint,Mint,20
58,820,Dill,Dill,20
58,820,Cinnamon,Cinnamon,19
58,820,Almonds,Almonds,7
58,820,Mint,Mint,1
58,820,Persimmons,Persimmons,8
58,820,Mangoes,Mangoes,0
58,820,Basil,Basil,20
58,502,Onions,Onions,8
58,502,Pineapples,Pineapples,5
58,523,Bananas,Bananas,9
58,176,Fennel,Fennel,10
58,176,Almonds,Almonds,18
58,284,Cashews,Cashews,1
58,284,Mangoes,Mangoes,13
58,284,Boysenberries,Boysenberries,9
58,284,Lettuce,Lettuce,20
58,284,Spinach,Spinach,5
58,284,Okra,Okra,6
58,800,Grapefruits,Grapefruits,0
58,800,Cranberries,Cranberries,17
58,800,Beets,Beets,12
58,800,Honeydews,Honeydews,12
58,800,Potatoes,Potatoes,8
58,800,Currants,Currants,14
58,800,Okra,Okra,16
58,103,Pistachios,Pistachios,3
58,103,Zucchini,Zucchini,2
58,103,Okra,Okra,8
58,103,Potatoes,Potatoes,19
58,103,Walnuts,Walnuts,13
58,110,Blackberries,Blackberries,20
59,632,Honey,Honey,10
59,632,Potatoes,Potatoes,7
59,632,Hot peppers,Hot peppers,8
59,632,Rambutan,Rambutan,8
59,632,Swiss chard,Swiss chard,4
59,632,Cinnamon,Cinnamon,14
59,632,Collard greens,Collard greens,0
59,632,Artichokes,Artichokes,6
59,632,Gooseberries,Gooseberries,18
59,517,Nectarines,Nectarines,15
59,517,Cabbage,Cabbage,20
59,517,Collard greens,Collard greens,3
59,517,Honey,Honey,1
59,517,Peanuts,Peanuts,15
59,288,Almonds,Almonds,14
59,658,Pecans,Pecans,1
59,575,Lettuce,Lettuce,14
59,575,Basil,Basil,8
59,575,Limes,Limes,8
59,575,Chives,Chives,17
59,575,Mangoes,Mangoes,2
59,575,Passionfruit,Passionfruit,15
59,575,Blackberries,Blackberries,7
59,575,Pomegranates,Pomegranates,17
59,37,Rambutan,Rambutan,12
59,37,Basil,Basil,1
59,37,Dates,Dates,12
59,37,Figs,Figs,7
59,37,Guavas,Guavas,16
59,37,Beans,Beans,14
59,556,Honeydews,Honeydews,8
59,556,Blackcurrants,Blackcurrants,5
59,556,Jackfruit,Jackfruit,6
59,556,Guavas,Guavas,18
59,437,Beans,Beans,20
59,437,Avocados,Avocados,5
59,437,Mint,Mint,17
59,580,Radishes,Radishes,13
59,801,Pineapples,Pineapples,11
59,801,Mangoes,Mangoes,4
59,801,Sage,Sage,20
60,389,Jackfruit,Jackfruit,7
60,709,Cauliflower,Cauliflower,1
60,709,Oranges,Oranges,7
60,413,Strawberries,Strawberries,8
60,413,Coffee beans,Coffee beans,18
60,413,Artichokes,Artichokes,19
60,413,Lychee,Lychee,3
60,413,Papayas,Papayas,9
60,95,Kumquats,Kumquats,19
60,95,Kiwifruit,Kiwifruit,7
60,95,Rosemary,Rosemary,3
60,95,Pecans,Pecans,14
60,267,Limes,Limes,14
60,267,Sage,Sage,0
60,267,Nectarines,Nectarines,4
60,267,Pineapples,Pineapples,2
60,267,Hot peppers,Hot peppers,19
60,267,Dill,Dill,2
60,267,Bananas,Bananas,14
61,109,Spinach,Spinach,15
61,109,Lettuce,Lettuce,20
61,504,Collard greens,Collard greens,8
61,504,Coffee beans,Coffee beans,13
61,504,Almonds,Almonds,0
61,504,Mint,Mint,9
61,508,Watercress,Watercress,1
61,508,Swiss chard,Swiss chard,11
61,508,Guavas,Guavas,14
61,210,Fennel,Fennel,20
61,210,Lettuce,Lettuce,19
61,210,Blackberries,Blackberries,11
61,210,Radishes,Radishes,2
61,210,Honey,Honey,18
61,210,Chives,Chives,16
61,210,Boysenberries,Boysenberries,13
62,241,Garlic,Garlic,5
62,241,Grapefruits,Grapefruits,17
62,241,Pistachios,Pistachios,16
62,241,Guavas,Guavas,8
62,606,Peanuts,Peanuts,11
62,606,Cherimoya,Cherimoya,12
62,606,Bananas,Bananas,7
62,606,Cherries,Cherries,1
62,606,Nectarines,Nectarines,3
62,435,Tomatoes,Tomatoes,18
62,435,Gooseberries,Gooseberries,11
62,435,Pecans,Pecans,12
63,507,Bananas,Bananas,11
63,507,Apricots,Apricots,1
63,507,Grapes,Grapes,7
63,507,Squash,Squash,15
63,577,Leeks,Leeks,4
63,577,Eggplant,Eggplant,10
63,577,Eggplant,Eggplant,12
63,553,Strawberries,Strawberries,16
63,553,Peanuts,Peanuts,15
63,553,Kumquats,Kumquats,15
63,553,Persimmons,Persimmons,1
63,449,Kiwi,Kiwi,0
63,449,Currants,Currants,0
63,449,Asparagus,Asparagus,9
63,449,Parsnips,Parsnips,19
63,449,Bananas,Bananas,17
63,449,Papayas,Papayas,5
63,449,Cilantro,Cilantro,14
63,449,Nectarines,Nectarines,15
64,437,Beans,Beans,10
64,480,Mustard greens,Mustard greens,12
64,480,Guavas,Guavas,18
64,480,Pineapples,Pineapples,17
64,136,Zucchini,Zucchini,9
64,136,Apples,Apples,14
64,136,Blackcurrants,Blackcurrants,3
64,136,Plums,Plums,2
64,136,Rosemary,Rosemary,2
64,136,Okra,Okra,12
64,136,Pistachios,Pistachios,2
64,136,Corn,Corn,7
64,482,Blackcurrants,Blackcurrants,16
64,785,Thyme,Thyme,2
64,785,Sage,Sage,20
64,785,Kale,Kale,16
